,0
0,"Title: Lexus Lx for sale
Time posted: 2022-01-27 02:06
Price: $49,000
Location:  (Surrey delta/surrey/langley )
Link: https://vancouver.craigslist.org/rds/cto/d/surrey-lexus-lx-for-sale/7438188966.html

"
1,"Title: 2002 Harley Davidson f150 supercharged
Time posted: 2022-01-27 01:58
Price: $15,000
Location:  ( delta/surrey/langley )
Link: https://vancouver.craigslist.org/rds/cto/d/surrey-inner-northwest-2002-harley/7436037779.html

"
2,"Title: 2018 Honda Accord Sport
Time posted: 2022-01-27 01:58
Price: $30,000
Location:  ( delta/surrey/langley )
Link: https://vancouver.craigslist.org/rds/cto/d/surrey-inner-northwest-2018-honda/7436012930.html

"
3,"Title: Honda Ridgeline 2010 for sale
Time posted: 2022-01-27 01:39
Price: $9,999
Location:  (Surrey delta/surrey/langley )
Link: https://vancouver.craigslist.org/rds/cto/d/surrey-honda-ridgeline-2010-for-sale/7430003448.html

"
4,"Title: 2008 Nissan Frontier V6 4x4 CC Long Box - 6 spd manual
Time posted: 2022-01-27 01:37
Price: $10,500
Location:  (North Vancouver north shore )
Link: https://vancouver.craigslist.org/nvn/cto/d/north-vancouver-2008-nissan-frontier-v6/7437256428.html

"
5,"Title: 2002 Honda Civic
Time posted: 2022-01-27 01:32
Price: $3,500
Location:  (Surrey delta/surrey/langley )
Link: https://vancouver.craigslist.org/rds/cto/d/surrey-east-2002-honda-civic/7438186788.html

"
6,"Title: 2005 Honda CR-V
Time posted: 2022-01-27 01:31
Price: $5,500
Location:  (Surrey delta/surrey/langley )
Link: https://vancouver.craigslist.org/rds/cto/d/surrey-east-2005-honda-cr/7438186925.html

"
7,"Title: 2008 Mazda 3 GT - Hatchback
Time posted: 2022-01-27 01:29
Price: $7,500
Location:  (Lougheed Mall burnaby/newwest )
Link: https://vancouver.craigslist.org/bnc/cto/d/burnaby-2008-mazda-gt-hatchback/7438186835.html

"
8,"Title: 2010 Dodge Grand Caravan
Time posted: 2022-01-27 01:27
Price: $8,900
Location:  (Surrey delta/surrey/langley )
Link: https://vancouver.craigslist.org/rds/cto/d/surrey-2010-dodge-grand-caravan/7438186699.html

"
9,"Title: 1991 Toyota Previa LE
Time posted: 2022-01-27 01:26
Price: $6,900
Location:  ( richmond )
Link: https://vancouver.craigslist.org/rch/cto/d/richmond-1991-toyota-previa-le/7438186684.html

"
10,"Title: 2016 Nissan Juke Nismo
Time posted: 2022-01-27 01:25
Price: $23,900
Location:  ( richmond )
Link: https://vancouver.craigslist.org/rch/cto/d/richmond-2016-nissan-juke-nismo/7438186636.html

"
11,"Title: 2004 Dodge Dakota
Time posted: 2022-01-27 01:18
Price: $4,200
Location:  (Surrey delta/surrey/langley )
Link: https://vancouver.craigslist.org/rds/cto/d/surrey-east-2004-dodge-dakota/7432180908.html

"
12,"Title: 2005 Honda Civic
Time posted: 2022-01-27 01:18
Price: $3,500
Location:  (Surrey delta/surrey/langley )
Link: https://vancouver.craigslist.org/rds/cto/d/surrey-east-2005-honda-civic/7432179349.html

"
13,"Title: 2003 Honda Odyssey Van with only 180000 km on motor and transmission
Time posted: 2022-01-27 00:46
Price: $1,800
Location:  (Surrey delta/surrey/langley )
Link: https://vancouver.craigslist.org/rds/cto/d/surrey-2003-honda-odyssey-van-with-only/7428071890.html

"
14,"Title: WANTED 5.0 mustang foxbody
Time posted: 2022-01-27 00:35
Price: $999,999
Location:  (Cloverdale delta/surrey/langley )
Link: https://vancouver.craigslist.org/rds/cto/d/surrey-east-wanted-50-mustang-foxbody/7438183667.html

"
15,"Title: Vw corrado vr6
Time posted: 2022-01-27 00:34
Price: $6,000
Location:  (Surrey delta/surrey/langley )
Link: https://vancouver.craigslist.org/rds/cto/d/surrey-east-vw-corrado-vr6/7438183651.html

"
16,"Title: 1979 Mercedes Benz 300SD Turbo Diesel
Time posted: 2022-01-27 00:30
Price: $26,500
Location:  (Vancouver, BC, Canada city of vancouver )
Link: https://vancouver.craigslist.org/van/cto/d/vancouver-1979-mercedes-benz-300sd/7430118006.html

"
17,"Title: 2007 Toyota Camry Hybrid
Time posted: 2022-01-27 00:25
Price: $6,700
Location:  (Burnaby burnaby/newwest )
Link: https://vancouver.craigslist.org/bnc/cto/d/burnaby-2007-toyota-camry-hybrid/7435169059.html

"
